Jahr,Anzahl_Sitze,Partei
1914,0,LP
1914,0,Andere
1915,6,FDP
1915,1,CVP
1915,0,SP
1915,0,SVP
1915,0,BDP
1915,0,LP
1915,0,Andere
1916,5,FDP
1916,2,CVP
1916,0,SP
1916,0,SVP
1916,0,BDP
1916,0,LP
1916,0,Andere
1917,5,FDP
1917,2,CVP
1917,0,SP
1917,0,SVP
1917,0,BDP
1917,0,LP
1917,0,Andere
1918,5,FDP
1918,2,CVP
1918,0,SP
1918,0,SVP
1918,0,BDP
1918,0,LP
1918,0,Andere
1919,5,FDP
1919,2,CVP
1919,0,SP
1919,0,SVP
1919,0,BDP
1919,0,LP
1919,0,Andere
1920,5,FDP
1920,2,CVP
1920,0,SP
1920,0,SVP
1920,0,BDP
1920,0,LP
1920,0,Andere
1921,5,FDP
1921,2,CVP
1921,0,SP
1921,0,SVP
1921,0,BDP
1921,0,LP
1921,0,Andere
1922,5,FDP
1922,2,CVP
1922,0,SP
1922,0,SVP
1922,0,BDP
1922,0,LP
1922,0,Andere
1923,5,FDP
1923,2,CVP
1923,0,SP
1923,0,SVP
1923,0,BDP
1923,0,LP
1923,0,Andere
1924,5,FDP
1924,2,CVP
1924,0,SP
1924,0,SVP
1924,0,BDP
1924,0,LP
1924,0,Andere
1925,5,FDP
1925,2,CVP
1925,0,SP
1925,0,SVP
1925,0,BDP
1925,0,LP
1925,0,Andere
1926,5,FDP
1926,2,CVP
1926,0,SP
1926,0,SVP
1926,0,BDP
1926,0,LP
1926,0,Andere
1927,5,FDP
1927,2,CVP
1927,0,SP
1927,0,SVP
1927,0,BDP
1927,0,LP
1927,0,Andere
1928,5,FDP
1928,2,CVP
1928,0,SP
1928,0,SVP
1928,0,BDP
1928,0,LP
1928,0,Andere
1929,5,FDP
1929,2,CVP
1929,0,SP
1929,0,SVP
1929,0,BDP
1929,0,LP
1929,0,Andere
1930,5,FDP
1930,2,CVP
1930,0,SP
1930,0,SVP
1930,0,BDP
1930,0,LP
1930,0,Andere
1931,5,FDP
1931,2,CVP
1931,0,SP
1931,0,SVP
1931,0,BDP
1931,0,LP
1931,0,Andere
1932,4,FDP
1932,2,CVP
1932,0,SP
1932,1,SVP
1932,0,BDP
1932,0,LP
1932,0,Andere
1933,4,FDP
1933,2,CVP
1933,0,SP
1933,1,SVP
1933,0,BDP
1933,0,LP
1933,0,Andere
1934,4,FDP
1934,2,CVP
1934,0,SP
1934,1,SVP
1934,0,BDP
1934,0,LP
1934,0,Andere
1935,4,FDP
1935,2,CVP
1935,0,SP
1935,1,SVP
1935,0,BDP
1935,0,LP
1935,0,Andere
1936,4,FDP
1936,2,CVP
1936,0,SP
1936,1,SVP
1936,0,BDP
1936,0,LP
